"Επίπεδο διοικητικής διαίρεσης";"Γεωγραφικός κωδικός";"Περιγραφή";"Σύνολο";"Σύνολο οικονομικών ενεργών";"Σύνολο απασχολούμενων";"Πρωτογενής Τομέας";"Δευτερογενής Τομέας";"Τριτογενής Τομέας";"Ανεργοι";"Οικονομικά μη ενεργοί"
3;717105;"ΔΗΜΟΣ ΜΑΛΕΒΙΖΙΟΥ";24864;11548;9439;956;1649;6834;2109;13316
3;717106;"ΔΗΜΟΣ ΜΙΝΩΑ ΠΕΔΙΑΔΑΣ";17563;6422;5124;1579;836;2709;1298;11141
3;717107;"ΔΗΜΟΣ ΦΑΙΣΤΟΥ";24466;10296;8885;3722;1188;3975;1411;14170
3;717108;"ΔΗΜΟΣ ΧΕΡΣΟΝΗΣΟΥ";26717;12470;10311;616;1332;8363;2159;14247
3;717201;"ΔΗΜΟΣ ΑΓΙΟΥ ΝΙΚΟΛΑΟΥ";27074;12074;10413;541;1376;8496;1661;15000
3;717202;"ΔΗΜΟΣ ΙΕΡΑΠΕΤΡΑΣ";27602;13030;11444;4731;1092;5621;1586;14572
3;717203;"ΔΗΜΟΣ ΟΡΟΠΕΔΙΟΥ ΛΑΣΙΘΙΟΥ";2387;808;744;356;62;326;64;1579
3;717204;"ΔΗΜΟΣ ΣΗΤΕΙΑΣ";18318;7093;5992;1387;825;3780;1101;11225
3;717301;"ΔΗΜΟΣ ΡΕΘΥΜΝΗΣ";55525;24582;20658;1416;3237;16005;3924;30943
3;717302;"ΔΗΜΟΣ ΑΓΙΟΥ ΒΑΣΙΛΕΙΟΥ";7427;2782;2477;817;237;1423;305;4645
3;717303;"ΔΗΜΟΣ ΑΜΑΡΙΟΥ";5915;2089;1787;676;207;904;302;3826
3;717304;"ΔΗΜΟΣ ΑΝΩΓΕΙΩΝ";2379;895;801;315;87;399;94;1484
3;717305;"ΔΗΜΟΣ ΜΥΛΟΠΟΤΑΜΟΥ";14363;5293;4776;1915;590;2271;517;9070
3;717401;"ΔΗΜΟΣ ΧΑΝΙΩΝ";108642;49424;41417;1460;6443;33514;8007;59218
3;717402;"ΔΗΜΟΣ ΑΠΟΚΟΡΩΝΟΥ";12807;4692;4006;819;607;2580;686;8115
3;717403;"ΔΗΜΟΣ ΓΑΥΔΟΥ";152;80;68;20;11;37;12;72
3;717404;"ΔΗΜΟΣ ΚΑΝΤΑΝΟΥ - ΣΕΛΙΝΟΥ";5431;2198;1925;908;165;852;273;3233
3;717405;"ΔΗΜΟΣ ΚΙΣΣΑΜΟΥ";10790;3950;3417;1217;521;1679;533;6840
3;717406;"ΔΗΜΟΣ ΠΛΑΤΑΝΙΑ";16874;6504;5532;1659;599;3274;972;10370
3;717407;"ΔΗΜΟΣ ΣΦΑΚΙΩΝ";1889;713;634;361;39;234;79;1176
