"Επίπεδο διοικητικής διαίρεσης";"Γεωγραφικός κωδικός";"Περιγραφή";"Σύνολο";"Σύνολο οικονομικών ενεργών";"Σύνολο απασχολούμενων";"Πρωτογενής Τομέας";"Δευτερογενής Τομέας";"Τριτογενής Τομέας";"Ανεργοι";"Οικονομικά μη ενεργοί"
3;110303;"ΔΗΜΟΣ ΟΡΕΣΤΙΑΔΑΣ";37695;14599;12657;3348;1251;8058;1942;23096
".head()";110304;"ΔΗΜΟΣ ΣΑΜΟΘΡΑΚΗΣ";2859;1084;937;204;113;620;147;1775
3;110305;"ΔΗΜΟΣ ΣΟΥΦΛΙΟΥ";14941;5127;4471;1598;502;2371;656;9814
3;110401;"ΔΗΜΟΣ ΘΑΣΟΥ";13770;5468;4478;648;854;2976;990;8302
3;110501;"ΔΗΜΟΣ ΚΑΒΑΛΑΣ";70501;28020;22033;1185;4084;16764;5987;42481
3;110502;"ΔΗΜΟΣ ΝΕΣΤΟΥ";22331;8672;7060;2078;1362;3620;1612;13659
3;110503;"ΔΗΜΟΣ ΠΑΓΓΑΙΟΥ";32085;12090;9849;3173;1868;4808;2241;19995
3;110601;"ΔΗΜΟΣ ΞΑΝΘΗΣ";65133;26796;19989;830;3801;15358;6807;38337
3;110602;"ΔΗΜΟΣ ΑΒΔΗΡΩΝ";19005;7130;5014;1640;1229;2145;2116;11875
3;110603;"ΔΗΜΟΣ ΜΥΚΗΣ";15540;5395;3616;1743;1195;678;1779;10145
3;110604;"ΔΗΜΟΣ ΤΟΠΕΙΡΟΥ";11544;3938;3006;1440;560;1006;932;7606
3;120701;"ΔΗΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ";325182;134572;103243;877;15367;86999;31329;190610
3;120702;"ΔΗΜΟΣ ΑΜΠΕΛΟΚΗΠΩΝ - ΜΕΝΕΜΕΝΗΣ";52127;22258;15498;161;3691;11646;6760;29869
3;120703;"ΔΗΜΟΣ ΒΟΛΒΗΣ";23478;7602;6005;1695;1080;3230;1597;15876
3;120704;"ΔΗΜΟΣ ΔΕΛΤΑ";45839;18791;14263;1830;4588;7845;4528;27048
3;120705;"ΔΗΜΟΣ ΘΕΡΜΑΪΚΟΥ";50264;20747;16435;1160;2746;12529;4312;29517
3;120706;"ΔΗΜΟΣ ΘΕΡΜΗΣ";53201;23203;19743;1040;3393;15310;3460;29998
3;120707;"ΔΗΜΟΣ ΚΑΛΑΜΑΡΙΑΣ";91518;41998;34420;387;4555;29478;7578;49520
3;120708;"ΔΗΜΟΣ ΚΟΡΔΕΛΙΟΥ - ΕΥΟΣΜΟΥ";101753;48078;36421;352;8900;27169;11657;53675
3;120709;"ΔΗΜΟΣ ΛΑΓΚΑΔΑ";41103;15030;11589;1882;2831;6876;3441;26073
3;120710;"ΔΗΜΟΣ ΝΕΑΠΟΛΗΣ - ΣΥΚΕΩΝ";84741;37409;28301;227;5644;22430;9108;47332
3;120711;"ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ";99245;45000;32621;343;7959;24319;12379;54245
3;120712;"ΔΗΜΟΣ ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ";70110;31980;27334;258;4209;22867;4646;38130
3;120713;"ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ";33673;13150;10162;1705;2989;5468;2988;20523
3;120714;"ΔΗΜΟΣ ΩΡΑΙΟΚΑΣΤΡΟΥ";38317;16373;13357;555;3195;9607;3016;21944
3;120801;"ΔΗΜΟΣ ΒΕΡΟΙΑΣ";66547;27275;21275;3689;3672;13914;6000;39272
3;120802;"ΔΗΜΟΣ ΑΛΕΞΑΝΔΡΕΙΑΣ";41570;15801;12054;4201;2365;5488;3747;25769
3;120803;"ΔΗΜΟΣ ΝΑΟΥΣΑΣ";32494;12700;9774;2990;1704;5080;2926;19794
3;120901;"ΔΗΜΟΣ ΚΙΛΚΙΣ";51926;19734;15439;2336;4150;8953;4295;32192
3;120902;"ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ";28493;9839;7547;1807;1735;4005;2292;18654
3;121001;"ΔΗΜΟΣ ΕΔΕΣΣΑΣ";28814;11230;9191;2387;1337;5467;2039;17584
3;121002;"ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ";27556;10205;8505;3904;971;3630;1700;17351
3;121003;"ΔΗΜΟΣ ΠΕΛΛΑΣ";63122;25312;19917;5494;3605;10818;5395;37810
3;121004;"ΔΗΜΟΣ ΣΚΥΔΡΑΣ";20188;7835;6190;2578;1136;2476;1645;12353
3;121101;"ΔΗΜΟΣ ΚΑΤΕΡΙΝΗΣ";85851;34848;27504;4244;4487;18773;7344;51003
